㑇	亻 ⺈ 彐
颡	又 又 又 木 1 3 贝
颢	日 亠 口 小 1 3 贝
颤	亠 囗 口 日 1 1 3 贝
颥	 而 1 3 贝
颦	 2 3 3 1 3 贝 白 3 十
颧	艹 口 口 亻 亠 龶 1 3 贝
风	 乂
飏	 乂 𠃓
飐	 乂 2 1 口
飑	 乂 3 5 巳
飒	立  乂
飓	 乂 且 1 八
飔	 乂 田 心
飕	 乂 臼 2 又
飗	 乂 ㇒ 6 ㇏ 刀 田
飘	覀 二 小  乂
飙	犬 犬 犬  乂
飞	6 ㇒ 4
食	𠆢 ㇏ 彐 6 ㇒ ㇏
飧	夕 𠆢 ㇏ 彐 6 ㇒ ㇏
飨	6 6 3 𠆢 ㇏ 彐 6 ㇒ ㇏
餍	厂 犬 𠆢 ㇏ 彐 6 ㇒ ㇏
餐	卜 夕 又 𠆢 ㇏ 彐 6 ㇒ ㇏
餮	歹 𠆢 ㇒ ㇒ ㇒ 𠆢 ㇏ 彐 6 ㇒ ㇏
饔	亠 6 6 3 亻 亠 龶 𠆢 ㇏ 彐 6 ㇒ ㇏
饕	口 1 5 2 1 5 3 七 几 𠆢 ㇏ 彐 6 ㇒ ㇏
饥	⺈ 6 几
饧	⺈ 6 𠃓
饨	⺈ 6 1 6 2 6
饩	⺈ 6 气
饪	⺈ 6 千 1
饫	⺈ 6 ㇒ 大
饬	⺈ 6 𠂉 力
饭	⺈ 6 ㇒ 3 又
饮	⺈ 6 ⺈ 人
饯	⺈ 6 戋
饰	⺈ 6 𠂉 巾
饱	⺈ 6 3 5 巳
饲	⺈ 6 5 1 口
饳	⺈ 6 出
饴	⺈ 6 厶 口
饵	⺈ 6 耳
饶	⺈ 6 1 6 ㇒ 1 儿
饷	⺈ 6 3 冂 口
饸	⺈ 6 𠆢 1 口
饹	⺈ 6 各
饺	⺈ 6 亠 八 乂
饻	⺈ 6 衣
饼	⺈ 6 丷 1 𠂇 2
饽	⺈ 6 十 冖 子
饿	⺈ 6 ㇒ 扌 戈
馁	⺈ 6 爫 女
馃	⺈ 6 日 木
馄	⺈ 6 日 比
馅	⺈ 6 ⺈ 臼
馆	⺈ 6 宀 
馇	⺈ 6 木 日 1
馈	⺈ 6 口 2 1 贝
馉	⺈ 6 骨
馊	⺈ 6 臼 2 又
馋	⺈ 6 ⺈ 口 儿 4 4
馌	⺈ 6 土 厶 皿
馍	⺈ 6 艹 日 大
馏	⺈ 6 ㇒ 6 ㇏ 刀 田
馐	⺈ 6 丷 三 3 5 
馑	⺈ 6 廿 口 龶
馒	⺈ 6 日 罒 又
馓	⺈ 6 艹 1  攵
馔	⺈ 6 巳 巳 艹 1 八
馕	⺈ 6 1 口 2 冖 口 口 1 艹 1 3 6 ㇒ ㇏
首	丷 1 自
馗	3 ㇈ 丷 1 自
馘	丷 1 自 戈 口 1
香	禾 日
馝	禾 日 ㇏ 6 ㇏ 八
馞	禾 日 十 冖 子
馥	禾 日 𠂉 日 夂
馧	禾 日 日 皿
馨	士 尸 2 殳 千 𠆢 日
马	马
驭	马 又
驮	马 大
驯	马 3 2 2
驰	马 也
驱	马 匚 乂
驲	马 日
驳	马 乂 乂
驴	马 户
驵	马 且
驶	马 口 乂
驷	马 囗 儿
驸	马 付
驹	马 句
驺	马 ⺈ 彐
驻	马 亠 土
驼	马 宀 匕
驽	女 又 马
驾	力 口 马
驿	马 又 𰀁
骀	马 厶 口
骁	马 1 6 ㇒ 1 儿
骂	口 口 马
骃	马 囗 大
骄	马 ㇒ 大 3 2
骅	马 亻  十
骆	马 各
骇	马 亠 6 3 人
骈	马 丷 1 𠂇 2
骉	马 马 马
骊	马 1  
骋	马 日 2 丂
验	马 𠆢 1 ㇏ 丷 1
骍	马 辛
骎	马 彐 冖 又
骏	马 厶 八 夂
骐	马  八
骑	马 大 可
骒	马 日 木
骓	马 亻 亠 龶
骕	马 5 𰀁 3 2 八
骖	马 厶 大 彡
骗	马 户 
骘	阝  2 3 3 马
骙	马 5 ㇏ 3 3 ㇏ 1 大
骚	马 又 ㇏ 虫
骛	予 3 攵 马
骜	龶 5 3 攵 马
骝	马 ㇒ 6 ㇏ 刀 田
骞	宀 1 艹 1 八 马
骟	马 户 习 习
骠	马 覀 二 小
骡	马 田 糸
骢	马 3 囗 夂 心
骣	马 尸 子 子 子
骤	马 耳 又 ㇒ 2 ㇒ ㇒ ㇒ ㇏
骥	马  匕 田 艹 1 八
骦	马  木 目
骧	马 亠 口 口 1 艹 1 3 6 ㇒ ㇏
骨	骨
骰	骨 殳
骱	骨 介
骶	骨 氏 ㇏
骷	骨 古
骸	骨 亠 6 3 人
骺	骨 ㇒ 𠂉 口
骼	骨 各
髀	骨 白 3 十
髁	骨 日 木
髂	骨 宀 各
髃	骨 日 
髅	骨 米 女
髋	骨 宀 艹 见
髌	骨 宀 ㇒ 2 1 2 1 八
髎	骨 习 习 𠆢 彡
髑	骨 罒 3 5 虫
髓	骨 𠂇 工  辶
高	高
髡	1 2 三 厶 ㇒ ㇒ ㇒ 1 儿
髢	1 2 三 厶 ㇒ ㇒ ㇒ 也
髦	1 2 三 厶 ㇒ ㇒ ㇒ 毛
髫	1 2 三 厶 ㇒ ㇒ ㇒ 刀 口
髭	1 2 三 厶 ㇒ ㇒ ㇒  匕
髯	1 2 三 厶 ㇒ ㇒ ㇒ 冂 
髹	1 2 三 厶 ㇒ ㇒ ㇒ 亻 木
髻	1 2 三 厶 ㇒ ㇒ ㇒ 士 口
髽	1 2 三 厶 ㇒ ㇒ ㇒ 人 人 土
鬃	1 2 三 厶 ㇒ ㇒ ㇒ 宀 二 小
鬈	1 2 三 厶 ㇒ ㇒ ㇒ 丷 夫 ⺋
鬏	1 2 三 厶 ㇒ ㇒ ㇒ 千 𠆢 火
鬒	1 2 三 厶 ㇒ ㇒ ㇒ 真
鬓	1 2 三 厶 ㇒ ㇒ ㇒ 宀 ㇒ 2 1 2 1 八
鬘	1 2 三 厶 ㇒ ㇒ ㇒ 日 罒 又
鬟	1 2 三 厶 ㇒ ㇒ ㇒ 罒 1 口 3 6 ㇒ ㇏
鬣	1 2 三 厶 ㇒ ㇒ ㇒ 巛 囗 乂 6 4 4 6 4 4 6
鬯	乂 ㇏ ㇏ ㇏ ㇏ 6 2 匕
鬲	1 口 冂 丷 1 2
鬶	夫 见 1 口 冂 丷 1 2
鬷	1 口 冂 丷 1 2 乂 6 2 八 夂
鬻	弓 米 5 1 5 1 口 冂 丷 1 2
鬼	鬼
魁	鬼 氵 2
魂	二 厶 鬼
魃	鬼 𠂇 又 ㇏
魄	白 鬼
魅	鬼 未
魆	鬼 1 6 戈
魇	厂 犬 鬼
魈	鬼 ⺌ 
魉	鬼 1 冂 人 人
魋	鬼 亻 亠 龶
魍	鬼 冂 丷 1 亠 6
魏	禾 女 鬼
魑	鬼 亠 乂 6 2 冂 厶
魔	麻 鬼
鱼	鱼
鱽	鱼 刀
鱾	鱼 己
鱿	鱼 尤
鲀	鱼 1 6 2 6
鲁	鱼 日
鲂	鱼 方
鲃	鱼 巴
鲅	鱼 𠂇 又 ㇏
鲆	鱼 1 丷 十
鲇	鱼 2 1 口
鲈	鱼 2 1 尸
鲉	鱼 日 2
鲊	鱼 𠂉 2 二
鲋	鱼 付
鲌	鱼 白
鲍	鱼 3 5 巳
鲎	 鱼
鲏	鱼 5 3 2 又
鲐	鱼 厶 口
鲑	鱼 土 土
鲒	鱼 士 口
鲔	鱼 𠂇 
鲕	鱼 而
鲖	鱼 冂 1 口
鲗	鱼 贝 刂
鲘	鱼 ㇒ 𠂉 口
鲙	鱼 𠆢 二 厶
鲚	鱼 文 3 2
鲛	鱼 亠 八 乂
鲜	鱼 羊
鲝	丷 三 3 鱼
鲞	丷 夫 鱼
鲟	鱼 彐 寸
鲠	鱼 1 日 乂
鲡	鱼 1  
鲢	鱼 车 辶
鲣	鱼 2 2 又 土
鲤	鱼 日 
鲥	鱼 日 寸
鲦	鱼 夂 1 小
鲧	鱼 ㇒ 糸
鲨	氵 2 八 3 鱼
鲩	鱼 宀 二 儿
鲪	鱼 5 二 3 口
鲫	鱼 彐 6 ㇏ 卩
鲬	鱼 龴 
鲭	鱼 龶 
鲮	鱼 土 八 夂
鲯	鱼  八
鲰	鱼 耳 又
鲱	鱼  1 2 三
鲲	鱼 日 比
鲳	鱼 日 日
鲴	鱼 固
鲵	鱼 臼 儿
鲷	鱼  土 口
鲸	鱼 亠 口 小
鲹	鱼 厶 大 彡
鲺	鱼 6 ㇒ 虫
鲻	鱼 巛 田
鲼	鱼 十 艹 贝
鲽	鱼 廿 6 木
鲾	鱼 1 口 田
鲿	鱼  二 厶
鳀	鱼 日 1 龰
鳁	鱼 日 皿
鳂	鱼 田 1 戈
鳃	鱼 田 心
鳄	鱼 口 口 二 5
鳅	鱼 千 𠆢 火
鳇	鱼 白 王
鳈	鱼 白 水
鳉	鱼 丬 夕 寸
鳊	鱼 户 
鳌	龶 5 3 攵 鱼
鳍	鱼 十 𠂇 匕 日
鳎	鱼 日 习 习
鳏	鱼 罒 2 3 3 ㇏ ㇏
鳐	鱼 爫 𠂉 1 山
鳑	鱼 亠 丷 冖 方
鳒	鱼 丷 1 5 1 艹 八
鳓	鱼 廿 口 十 力
鳔	鱼 覀 二 小
鳕	鱼  彐
鳖	丷 巾 八 攵 鱼
鳗	鱼 日 罒 又
鳘	𠂉 6 5 亠 ㇏ 攵 鱼
鳙	鱼 广 5 二  2
鳚	鱼 尸 二 小 寸
鳛	鱼 习 习 白
鳜	鱼 厂 丷 1 6 2 3 ⺈ 人
鳝	鱼 羊 丷 1 口
鳞	鱼 米 夕 1 6 2
鳟	鱼 丷 西 1 寸
鳠	鱼 艹 亻 亠 龶 又
鳡	鱼 厂 1 口 戈 心
鳢	鱼 囗 艹 1 口 丷 1
鳣	鱼 亠 囗 口 日 1
鳤	鱼 𠂉 ㇏ 𠂉 ㇏ 宀 
鸟	鸟
鸠	3 ㇈ 鸟
鸡	又 鸟
鸢	弋 鸟
鸣	口 鸟
鸤	尸 鸟
鸥	匚 乂 鸟
鸦	1 6 2 3 鸟
鸧	𠆢 ⺋ 鸟
鸨	匕 十 鸟
鸩	冖 儿 鸟
鸪	古 鸟
鸫	1 6 小 鸟
鸬	卜 尸 鸟
鸭	日 2 鸟
鸮	口 1 5 鸟
鸯	冂 大 鸟
鸰	𠆢 ㇏ 龴 鸟
鸱	氏 ㇏ 鸟
鸲	句 鸟
鸳	夕 ⺋ 鸟
鸵	鸟 宀 匕
鸶	纟 纟 鸟
鸷	扌 3 ㇈ ㇏ 鸟
鸸	而 鸟
鸹	千 口 鸟
鸺	亻 木 鸟
鸻	彳 1 丁 鸟
鸼	舟 鸟
鸽	𠆢 1 口 鸟
鸾	亠 2 2 八 鸟
鸿	氵 工 鸟
鹀	工 人 人 鸟
鹁	十 冖 子 鸟
鹂	1   鸟
鹃	口  鸟
鹄	 口 鸟
鹅	㇒ 扌 戈 鸟
鹆	谷 鸟
鹇	门 木 鸟
鹈	弟 鸟
鹉	1 弋  鸟
鹊	艹 1 日 鸟
鹋	艹 田 鸟
鹌	大 电 鸟
鹍	日 1 6 1 6 鸟
鹎	白 3 十 鸟
鹏	月 月 鸟
鹐	⺈ 臼 鸟
鹑	亠 口 子 鸟
鹒	广 5 夫 鸟
鹔	5 𰀁 3 2 八 鸟
鹕	古 月 鸟
鹖	日 3 5 人 6 鸟
鹗	口 口 二 5 鸟
鹘	骨 鸟
鹙	禾 火 鸟
鹚	丷 1 6 厶 6 厶 鸟
鹛	尸 2 目 鸟
鹜	予 3 攵 鸟
鹝	1 口 冂 丷 1 2 鸟
鹞	爫 𠂉 1 山 鸟
鹟	八 厶 习 习 鸟
鹠	㇒ 6 ㇏ 刀 田 鸟
鹡	冫 ㇒ 4 人  鸟
鹢	丷 1 八 皿 鸟
鹣	丷 1 5 1 艹 八 鸟
鹤	冖 亻 亠 龶 鸟
鹦	贝 贝 女 鸟
鹧	广 廿 灬 鸟
鹨	习 习 𠆢 ㇒ ㇒ ㇒ 鸟
鹩	大 丷 日 小 鸟
鹪	亻 亠 龶 灬 鸟
鹫	亠 口 小 尤 鸟
鹬	予 3 冂 八 口 鸟
鹭	 各 鸟
鹮	罒 1 口 3 戈 鸟
鹯	亠 囗 口 日 1 鸟
鹰	广 亻 亻 亠 龶 鸟
鹱	鸟 艹 亻 亠 龶 又
鹲	艹 冖 1 豕 鸟
鹳	艹 口 口 亻 亠 龶 鸟
鹴	 木 目 鸟
鹾	2 1 囗 乂 丷 三 3 工
鹿	广 5 2 2 1 比
麀	广 5 2 2 1 1 6 匕 匕
麂	广 5 2 2 1 1 6 匕 几
麇	广 5 2 2 1 1 6 匕 千 𠆢
麈	广 5 2 2 1 1 6 匕 亠 土
麋	广 5 2 2 1 1 6 匕 米
麑	广 5 2 2 1 1 6 匕 臼 儿
麒	广 5 2 2 1 1 6 1 6  八
麓	木 木 广 5 2 2 1 比
麖	广 5 2 2 1 1 6 匕 亠 口 小
麝	广 5 2 2 1 1 6 匕 3  1 ㇒ 寸
麟	广 5 2 2 1 1 6 1 6 米 夕 1 6 2
麦	龶 夂
麸	龶 夂 夫
麹	龶 夂 3 5 米
麻	麻
麽	麻 3 厶
麾	麻 毛
黄	艹 1 1 日 乂
黇	艹 1 1 日 乂 2 1 口
黉	 艹 1 1 日 乂
黍	禾 𠆢 氺
黎	禾 3 刀 𠆢 氺
黏	禾 𠆢 2 冫 ㇒ 4 2 1 口
黑	黑
黔	黑 𠆢 ㇏ 5
默	黑 犬
黛	亻 弋 黑
黜	黑 出
黝	黑 6 厶 力
黟	黑 夕 夕
黠	黑 士 口
黡	厂 犬 黑
黢	黑 厶 八 夂
黥	黑 亠 口 小
黧	禾 3 刀 黑
黩	黑 十 5 氵 人
黪	黑 厶 大 彡
黯	黑 立 日
黹	2 ⺌ 1 丷 巾 八
黻	2 ⺌ 1 丷 巾 八 𠂇 又 ㇏
黼	2 ⺌ 1 丷 巾 八 甫
黾	口 电
鼋	二 儿 口 电
鼍	口 口 田 1 口 电
鼎	目 5 1 3 2 1 2 5
鼐	5 3 目 5 1 3 2 1 2 5
鼒	1 2 3 目 5 1 3 2 1 2 5
鼓	士 口 丷 1 十 又
鼗	3 冫 6 ㇒ 4 士 口 丷 1 十 又
鼙	士 口 丷 1 十 又 白 3 十
鼠	臼 6 4 4 6 4 4 6
鼢	臼 6 4 4 6 4 4 6 八 刀
鼩	臼 6 4 4 6 4 4 6 句
鼫	臼 6 4 4 6 4 4 6 石
鼬	臼 6 4 4 6 4 4 6 日 2
鼯	臼 6 4 4 6 4 4 6 五 口
鼱	臼 6 4 4 6 4 4 6 龶 
鼷	臼 6 4 4 6 4 4 6 爫 6 厶 大
鼹	臼 6 4 4 6 4 4 6 日 宀 女
鼻	自 田 1 3 2
鼽	自 田 1 3 2 3 ㇈
鼾	自 田 1 3 2 干
齁	自 田 1 3 2 句
齇	自 田 1 3 2 2 1 5 3 七 且
齉	自 田 1 3 2 1 口 2 冖 口 口 1 艹 1 3 6 ㇒ ㇏
齐	文 3 2
齑	文 3 2  1 2 三 1
齿	 人 凵
龀	 人 6 2 
龁	 人 6 2 𠂉 ㇈
龂	 人 6 2 斤
龃	 人 6 2 且
龄	 人 6 2 𠆢 ㇏ 龴
龅	 人 6 2 3 5 巳
龆	 人 6 2 刀 口
龇	 人 6 2  匕
龈	 人 6 2 彐 6 ㇒ ㇏
龉	 人 6 2 五 口
龊	 人 6 2 足
龋	 人 6 2 ㇒ 口 
龌	 人 6 2 尸 至
龙	𠂇  ㇏
龚	𠂇  ㇏ 艹 1 八
龛	𠆢 1 口 𠂇  ㇏
龟	⺈ 日 6
龠	𠆢 1 口 口 口 
龢	𠆢 1 口 口 口  千 𠆢
鿍	土 夂 1 6 2
鿎	石 大 辶
鿏	钅 龶 夂
𠅤	亠 田 心
𠙶	5 2 6 2
𠳐	口 三 3 阝
𡎚	土 户 
𡐓	土 广 5 二 氺
𣗋	木  口 儿
𣲗	氵 韦
𣲘	氵 二 儿
𣸣	氵 十 艹 贝
𤧛	王 亠 丷 冖 巾
𤩽	王 十 冂 丷 干 犬
𤫉	王 言 火 火 又
𥔲	石 口 口 二 5
𥕢	石 1 囗 艹 日
𥖨	石 口 口 口 木
𥻗	米 木 日 1
𦈡	纟  而
𦒍	立 日  习 习
𦙶	月 古
𦝼	月 米 女
𦭜	艹 口 八
𦰡	艹 5 二 3 阝
𧿹	 母
𨐈	 ⺌ 1 儿
𨙸	十 又 阝
𨚕	厶 𠂇 2 阝
𨟠	目 目 亻 亠 龶 阝
𨭉	文 1 弋  𠆢 干 丷 1
𨱇	钅 1 2 冫 ㇒ 4 ㇏
𨱏	钅 艹 𠆢 1 口
𨱑	钅 艹 1 1 日 乂
𨱔	钅 丷 西 1 寸
𨺙	阝 臼 儿
𩽾	鱼 宀 女
𩾃	鱼 ⺈ 口 儿
𩾌	鱼 广 5 二 氺
𪟝	龶 贝 力
𪣻	土 米 女
𪤗	土 习 习 𠆢 彡
𪨰	山 囗 艹
𪨶	山 大 车
𪩘	山 十 冂 丷 干 犬
𪾢	目 见
𫄧	纟 ㇒ 2 1 6 廴
𫄨	纟 乂 𠂇 巾
𫄷	纟 立 日 心
𫄸	纟 ㇒ 1 黑
𫇭	艹 为
𫌀	衤 龶 贝
𫍣	讠 冂 1 口
𫍯	讠 厂 1 口 戈
𫍲	讠 臼 2 又
𫍽	讠 罒 1 口 3 6 ㇒ ㇏
𫐄	 1 儿
𫐐	 臼 儿
𫐓	 予 3 木
𫑡	口 电 阝
𫓧	钅 夫
𫓯	钅 土 土
𫓶	钅 口 
𫓹	钅  八
𫔍	钅 ㇒ 米 田
𫔎	钅 予 3 冂 八 口
𫔶	门 自 木
𫖮	山 己 1 3 贝
𫖯	3 冫 6 ㇒ 4 1 3 贝
𫖳	5 二 3 口 1 3 贝
𫗧	⺈ 6 束
𫗴	⺈ 6 亠 囗 口 日 1
𫘜	马 文
𫘝	马 5 大
𫘦	马 3 5 𠂉 1 山
𫘧	马  氺
𫘨	马 日 1 龰
𫘪	马 厂 白 小
𫘬	马 爫 6 厶 大
𫚕	鱼 2 3 1 巾
𫚖	 匕 鱼
𫚭	鱼 巛 囗 乂 6 4 4 6 4 4 6
𫛭	犭 王 鸟
𫞩	王 艹 1 冂 人 人
𫟅	纟 亠 口 小
𫟦	 丷 豕 辶
𫟹	钅 艹 1 八
𫟼	钅 大 辶
𫠆	十 又 1 3 贝
𫠊	马 亠 6 厶
𫠜	 人 6 2 臼 儿
𫢸	亻 丷 日 十
𫫇	口 1 2 ⺌ 1 心
𫭟	土 匚 乂
𫭢	土 𠆢 匕
𫭼	土 艹 冖 力
𫮃	土 丷 日 十
𫰛	女 5 ㇏ 工
𫵷	山 厂 力
𫶇	山  冖 巾
𫷷	广 钅 ⺈ 人
𫸩	弓 匚 乂
𬀩	日 韦
𬀪	日 见
𬂩	木 1 丷 大
𬃊	木 ㇒ 3 十 贝
𬇕	氵 1 5 3
𬇙	氵 贝
𬇹	氵 囗 玉
𬉼	火 匚 乂
𬊈	火 彐 寸
𬊤	火 丷 日 十
𬌗	1 6 2 3 𠆢 1 口
𬍛	王 ㇒ 6 小
𬍡	氵 𠃓 玉
𬍤	王 彐 寸
𬒈	 石
𬒔	石  
𬒗	石 2 2 𠂉 ㇏ 见
𬕂	⺮ 工 贝
𬘓	纟 3 2 2
𬘘	纟 冖 儿
𬘡	纟 囗 大
𬘩	纟 千 1 廴
𬘫	纟 宀 二 儿
𬘬	纟 龶 
𬘭	纟 木 木
𬘯	纟 亠 口 子
𬙂	纟 宀 1 日 2 八
𬙊	纟 黑 土
𬙋	纟 亠 口 口 1 艹 1 3 6 ㇒ ㇏
𬜬	艹 门 口
𬜯	艹 1 冂 人 人
𬞟	艹  2 3 3 1 3 贝
𬟁	艹 1 口 冂 丷 1 2 鸟
𬟽	虫 1 6 小
𬣙	讠 于
𬣞	讠 宀 1
𬣡	讠 二 戈
𬣳	讠 彐 6 ㇒ ㇏
𬤇	讠 覀 土
𬤊	讠 日 1 龰
𬤝	讠 1 日 2 1 ㇏ 心
𬨂	 氏
𬨎	 丷 西 1
𬩽	彐 寸 阝
𬪩	西 1 冖 3 6 ㇒ ㇏
𬬩	钅 弋
𬬭	钅 𠆢 匕
𬬮	钅 长
𬬱	钅 斤
𬬸	钅 木 ㇏
𬬹	钅 日 2
𬬻	钅 2 1 尸
𬬿	钅 刀 口
𬭁	钅 母
𬭊	钅 木 土
𬭎	钅 宀 𠂇 厶
𬭚	钅 亠 口 子
𬭛	钅 氵 5 3 2 又
𬭤	钅 亻 5 1 𠂉 大
𬭩	钅 八 厶 习 习
𬭬	钅 丰 丰 彐
𬭯	钅 丷 巾 八 攵
𬭳	钅 士 口 丷 1 口
𬭶	钅 黑
𬭸	钅 米 夕 1 6 2
𬭼	钅 丷 豕 辶
𬮱	门 覀 土
𬮿	阝 山 己
𬯀	阝 文 3 2
𬯎	阝 口 2 1 贝
𬱖	日 2 1 3 贝
𬱟	⺈ 厂 ⺋ 1 3 贝
𬳵	马 1 亻 4 1
𬳶	马 冂 口
𬳽	马  儿
𬳿	马 𠆢 于 八
𬴂	马  1 2 三
𬴃	马 丰 石
𬴊	马 米 夕 1 6 2
𬶋	鱼 句
𬶍	鱼 宀 匕
𬶏	鱼 ⺈ 厂 ⺋
𬶐	鱼 3 冫 6 ㇒ 4
𬶟	鱼 束 刂
𬶠	鱼 束 丷
𬶨	彐 6 ㇏ 1 6 儿 鱼
𬶭	鱼 夕 4 5 ㇏ 二 小
𬶮	鱼 士 口 丷 1 口
𬷕	甫 鸟
𬸘	匚 日 女 鸟
𬸚	犭 讠 犬 鸟
𬸣	宀 1 艹 1 八 鸟
𬸦	方 𠂉 𠂉 大 鸟
𬸪	㇒ 米 田 鸟
𬹼	 人 6 2 介
𬺈	 人 6 2 大 可
𬺓	 人 6 2 木 木 5 龰
亻	亻
	5 耳
攵	攵
覀	覀
	𠆢
	于 八
龴	龴
	
㇆	5
亠	亠
艹	艹
冖	冖
	1 豕
忄	忄
夂	夂
扌	扌
氵	氵
匚	匚
爫	爫
	1 𠂇
灬	灬
	亠 厶
	
冂	冂
	㇏ 彐 6 ㇏
	3 刀
氺	氺
屰	丷 1 6 2 3
	⺈
	
	 1
	2 三
	
犭	犭
亼	𠆢 1
刂	刂
厶	厶
彡	彡
纟	纟
冫	冫
	丷 囗 ⺌
囗	囗
	2 1
	
丨	2
	𠂉 ㇏
廴	廴
讠	讠
阝	阝
龷	艹 1
	⺌
钅	钅
	6 八
耂	十 𠂇
	㇒ 6 1
卩	卩
	三 人
龹	丷 夫
帀	1 巾
龶	龶
	㇒ 3
虍	2 1 5 3 七
氶	5 水
	2 2
	囗 2
丶	㇏
	㇏ 丷 1
	𰀁
㇒	㇒
丿	3
	3 2
	
	禾
	𠂉
乚	6
乛	5
龺	十 日 十
朩	1 小
乇	㇒ 七
	3 戈
	㇒ 2 二 5 二
㔾	⺋
	6 ㇏
	㇒ 6
	1 6
	丷 十
宀	宀
	𠂇
勹	3 5
	4 4
	
	
	1 厶
	1 6 ㇒
	5 1
彐	彐
丂	丂
	三 3
	且 1
㠯	
㇑	2
	
廾	𠂇 2
	5 1 2 二
	5 1
㇗	6
	1 戈
	
	
	
糸	糸
	二 戈
	亠 丷 冖
	㇒ 2 1 2
	1 八
	龶 5 3
	夕 4
	5 ㇏
	3 囗
䒑	丷 1
	大 丷
旡	1 6 儿
朿	1 巾 𠆢
罒	罒
厃	⺈ 厂
	广 5 2 2 1
	⺈ 口
	1 艹 1
	2 5 艹 1
	丷 1 夫
丷	丷
	艹 1 戈
	2 5
豖	1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
	1 5 二 2
疋	5 龰
	
	5 ㇏
	3 3 ㇏
凵	6 2
	5 氺
	丷 干
衤	衤
	丷 二 3
	5 ㇏
	3 二 巾
	
巛	巛
丌	1 3 2
	十 冖
	
	1 龰
	
	口 2 1
	十 5
	十 冂
	㇒ 𠂉
	㇒ 6 3
	彐 6 ㇏
	㇒ 6 ㇏ 3
	𠂉 1 
圡	土 ㇏
	1 自
㇤	6
辶	辶
	亠 2 2 八
	臼 2
丩	6 2
	3 冂
	十 戈
	㇒ 戈
	5 二 3
肀	5 𰀁
	亠 丷
	干 口
	十 丷 1
	㇏ 丷
	丷 1 2
	丷 三 3
㞢	6 2 2 1
	1 囗 艹
	囗 丷 
禸	冂 厶
	1 
	1 艹 1 八
	1 口 2 冖
	𠂇 2
	𠃓
	㇒ 2 1 6
	2 3 3
	3 
	㇒ 2 三
	氺
	5 二  2
	丂
刅	刀 ㇏ ㇏
釆	㇒ 米
	1 日 1 山
	2 1 冖
丬	丬
	尸 2
	⺈
	夕 ㇏
	1 日 2
镸	1 2 三 厶
	𠂇 ㇏
	𠂇 ㇏
	㇒ 5 2 3
	丷 王
	匚 2 口 2
疌	1 5 𰀁 1 3 4
疒	疒
攴	2 1 又
	1 3 且
	尸 5
龰	龰
	2 3
	干 丷 1
	冫 ㇒ 4 人
㐄	1 6 2
	2 6 冂
	5 夫
㡀	丷 巾 八
屮	6 2 2
彑	6 5 1
	3 3
	十 罒
	2 ㇏ ㇏ ㇏
冘	冖 儿
	1 日 2 1 ㇏
	耳 戈
戶	㇒ 3 5 1
	卩 又
龵	龵
	1 丰
	1 6 5 八
	㇒ 4
	1 弋
巿	1 巾
㒸	丷 豕
並	丷 1 2 ⺌ 1
	廿 口 夫
	㇒ 1 囗 丷 
	禾 戈
	
	口 1
	㇒ 6 ㇏
戉	1 6 戈
㐆	㇒ 3 彐 5
豙	立 ㇒ 5 ㇒ ㇒ ㇒ ㇏
	2 5 5 冖
	
牜	牜
	㇏ 3
	
	5 
	匚 1
	3 罒
礻	礻
	𠂉 2
	𠂉 2
	弟
巜	6 6
	3 
	且 丁 八
	1 3 2 5 二 冖
乑	㇒ 2 ㇒ ㇒ ㇒ ㇏
	厂 6 1 3 6 ㇒ ㇏
	𠂉  2 1
	3 2 ㇒ ㇏
䖝	㇒ 虫
饣	⺈ 6
	6 4 4 6 4 4 6
	刂 八
	2 八
亽	𠆢 ㇏
	乂 ㇏ ㇏ ㇏ ㇏
	2 3 3 ㇏ ㇏
	5 1 3
	2 1 2 5
